en,fr,de,it,pl,es,ga,lv,lt,bg,cs,da,nl,et,fi,el,hu,mt,pt,ro,sk,sl,sv
Never,Jamais,Nie,Mai,Nigdy,Nunca,Ní dhéantar riamh,Nekad,Niekada,Никога,Nikdy,Aldrig,Nooit,Mitte kunagi,Ei koskaan,Ποτέ,Soha,Qatt,Nunca,Niciodată,Nikdy,Nikoli,Aldrig
Discontinued,Arrêté,Eingestellt,Interrotta,Zaprzestano,Suspendida,Ní dhéantar a thuilleadh,Pārtraukts,Nebeatnaujinama,Прекъснато,V současnosti již ne,Ophørt,Gediscontinueerd,Katkestatud,Keskeytetty,Περιστασιακά,Többször nem lesz frissítve,Ma tkomplietx,Interrompida,Suspendată,Pozastavené,Prekinjeno,Upphörd
Annual,Annuel,Jährlich,Annuale,Raz na rok,Anual,Go bliantúil,Reizi gadā,Kartą per metus,Ежегодно,Ročně,Hvert år,Jaarlijks,Kord aastas,Vuosittain,Ανά έτος,Évente,Annwali,Anual,Anual,Ročne,Letno,Varje år
Quarterly,Trimestriel,Vierteljährlich,Trimestrale,Raz na kwartał,Trimestral,Go ráithiúil,Reizi ceturksnī,Kas ketvirtį,Тримесечно,Čtvrtletně,Hvert kvartal,Driemaandelijks,Kord kvartalis,Neljännesvuosittain,Ανά τρίμηνο,Negyedévente,Kull tliet xhur,Trimestral,Trimestrial,Štvrťročne,Četrtletno,Varje kvartal
Monthly,Mensuel,Monatlich,Mensile,Raz na miesiąc,Mensual,Go míosúil,Reizi mēnesī,Kas mėnesį,Ежемесечно,Měsíčně,Hver måned,Maandelijks,Kord kuus,Kuukausittain,Ανά μήνα,Havonta,Kull xahar,Mensal,Lunar,Mesačne,Mesečno,Varje månad
Other - please specify,Autre (veuillez préciser),Sonstige – bitte angeben,Altro - specificare,Inne − podaj szczegóły,Otras (a especificar),Eile - tabhair sonraí,Citāds (precizējiet),Kita (nurodykite),Друго - моля уточнете,Jiná frekvence - upřesněte,Andet (angiv nærmere),Anders (licht toe),Muu – palun täpsustage,"Muu, mikä?","Άλλο, διευκρινίστε","Egyéb (kérjük, fejtse ki)",Oħrajn - jekk jogħġbok speċifika,Outra (especifique),Altele (vă rugăm să precizaţi),Iné – spresnite,"Drugo, navedite",Annat (ange vad)
Completed,Finalisé,Vollständig,Completato,Ukończony,Completado,Críochnaithe,Pabeigta,Užbaigta,Пълни,Dokončen,Færdiggjort,Voltooid,Täielik,Valmis,Ολοκληρώθηκε,Befejezett,Lesti,Completo,Finalizat,Ukončené,Zaključen,Klar
Deprecated,Déconseillé,Veraltet,Uso sconsigliato,Nieaktualny,Uso desaconsejado,Dímholta,Novecojusi,Nerekomenduojama,Непрепоръчителни,Neschválen,Frarådet,Verouderd,Vananenud,Arvo alennettu,Παρωχημένο,Elavult,Ikundannati,Utilização desaconselhada,Nerecomandat,Neodporúčané,Zastaran,Föråldrad
Under Development,En préparation,Im Aufbau,In preparazione,Prace w toku,En preparación,Á ullmhú faoi láthair,Sagatavošanā,Rengiama,В процес на разработка,Rozpracován,Under udvikling,In ontwikkeling,Väljatöötamisel,Kehitteillä,Υπό εκπόνηση,Kidolgozás alatt,Qed jiġu żviluppati,Em desenvolvimento,În curs de pregătire,V štádiu vývoja,V pripravi,Under utarbetande
Withdrawn,Retiré,Eingestellt,Ritirato,Wycofany,Retirado,Tarraingthe siar,Atsaukta,Atšaukta,Оттеглени,Stažen,Trukket tilbage,Ingetrokken,Kõrvaldatud,Vedetty pois,Ανακλήθηκε,Visszavont,Irtirati,Retirado,Retras,Stiahnuté,Umaknjen,Återkallad
Code List,Liste de codes,Codeliste,Elenco di codici,Wykaz kodów,Lista de códigos,Liosta cód,Kodu saraksts,Kodų sąrašas,Списък с кодове,Seznam kódů,Kodeliste,Codelijst,Koodide loetelu,Koodiluettelo,Κατάλογος κωδικών,Kódlista,Lista tal-Kodiċi,Lista de códigos,Lisă de coduri,Zoznam kódov,Šifrant,Kodförteckning
Core Component,Composante essentielle,Kernbestandteil,Componente centrale,Element podstawowy,Componente central,Comhpháirt lárnach,Pamatkomponents,Esminis elementas,Основен компонент,Zdrojový komponent,Hovedkomponent,Kerncomponent,Põhikomponent,Ydinkomponentti,Βασικό στοιχείο,Alapkomponens,Element Prinċipali,Componente central,Componentă centrală,Základná súčasť,Ključna komponenta,Huvudkomponent
